,Player1,Player2,Round,Result,FSP.1,FSW.1,SSP.1,SSW.1,FSP.2,FSW.2,SSP.2,SSW.2
594,Donald Young,Florian Mayer,1,0,62,42,38,20,57,48,43,21
595,Andreas Seppi,Somdev Devvarman,1,1,52,48,48,27,56,41,44,24
596,Tobias Kamke,Denis Istomin,1,0,46,19,54,23,46,24,54,21
597,Stanislas Wawrinka,Ivo Karlovic,1,1,60,51,40,25,63,52,37,21
598,Marcos Baghdatis,Kevin Anderson,1,1,43,24,57,24,64,27,36,11
599,Julien Benneteau,Jeremy Chardy,1,1,58,39,42,18,57,29,43,13
600,Denis Kudla,Tomas Berdych,1,0,60,49,40,26,57,49,43,28
601,Richard Gasquet,Dmitry Tursunov,1,1,64,42,36,21,53,46,47,24
602,Feliciano Lopez,Milos Raonic,1,0,59,56,41,29,67,66,33,19
603,Jack Sock,Janko Tipsarevic,1,0,46,35,54,27,56,46,44,33
604,Mikhail Kukushkin,David Ferrer,1,0,51,50,49,27,60,47,40,20
605,Roger Federer,Adrian Mannarino,1,1,57,36,43,15,65,27,35,9
606,Tommy Robredo,Daniel Evans,1,1,60,58,40,25,62,65,38,23
607,John Isner,Philipp Kohlschreiber,1,0,74,72,26,14,73,73,27,20
608,Ivan Dodig,Rafael Nadal,1,0,52,28,48,18,65,41,35,20
609,Novak Djokovic,Joao Sousa,1,1,68,30,32,12,59,30,41,10
610,Tim Smyczek,Marcel Granollers,1,0,61,63,39,26,59,66,41,28
611,Tommy Haas,Mikhail Youzhny,1,0,50,37,50,22,57,43,43,21
612,Evgeny Donskoy,Lleyton Hewitt,1,0,58,55,42,17,52,49,48,37
613,Andy Murray,Florian Mayer,1,1,51,37,49,25,62,40,38,15
614,Andreas Seppi,Denis Istomin,1,0,61,55,39,23,65,65,35,23
615,Stanislas Wawrinka,Marcos Baghdatis,1,1,52,55,48,37,47,50,53,43
616,Julien Benneteau,Tomas Berdych,1,0,52,25,48,12,58,39,42,14
617,Richard Gasquet,Milos Raonic,1,1,59,81,41,45,56,83,44,46
618,Janko Tipsarevic,David Ferrer,1,0,59,68,41,34,65,68,35,23
619,Roger Federer,Tommy Robredo,1,0,60,38,40,16,70,61,30,17
620,Philipp Kohlschreiber,Rafael Nadal,1,0,63,58,37,26,66,54,34,26
621,Mikhail Youzhny,Lleyton Hewitt,1,1,59,55,41,29,52,48,48,37
622,Andy Murray,Denis Istomin,1,1,63,58,37,23,69,55,31,20
623,Stanislas Wawrinka,Tomas Berdych,1,1,58,55,42,27,58,51,42,19
624,Richard Gasquet,David Ferrer,1,1,59,57,41,31,63,53,37,29
625,Tommy Robredo,Rafael Nadal,1,0,52,20,48,9,61,31,39,14
626,Novak Djokovic,Mikhail Youzhny,1,1,68,49,32,19,56,29,44,23
627,Andy Murray,Stanislas Wawrinka,1,0,63,37,37,22,55,37,45,20
628,Novak Djokovic,Stanislas Wawrinka,1,1,67,64,33,25,50,68,50,48
629,Richard Gasquet,Rafael Nadal,1,0,64,41,36,15,71,51,29,16
630,Novak Djokovic,Rafael Nadal,1,0,68,40,32,16,64,51,36,24
631,S Williams,V Azarenka,7,1,57,44,43,20,57,31,43,23
632,F Pennetta,V Azarenka,6,0,44,12,56,7,56,21,44,10
633,S Williams,N Li,6,1,63,26,37,9,63,20,37,10
634,R Vinci,F Pennetta,5,0,60,21,40,7,63,23,37,8
635,D Hantuchova,V Azarenka,5,0,58,14,42,5,60,20,40,9
636,E Makarova,N Li,5,0,60,40,40,18,68,43,32,14
637,A Ivanovic,V Azarenka,4,0,55,26,45,18,73,40,27,7
638,A Riske,D Hantuchova,4,0,69,37,31,14,60,38,40,19
639,S Halep,F Pennetta,4,0,75,22,25,8,45,23,55,16
640,C Giorgi,R Vinci,4,0,54,18,46,11,54,19,46,15
641,S Williams,S Stephens,4,1,62,26,38,11,66,28,34,8
642,J Jankovic,N Li,4,0,66,8,34,3,58,17,42,8
643,C Suarez Navarro,A Kerber,4,1,78,54,22,9,68,47,32,12
644,A Ivanovic,C McHale,3,1,60,41,40,18,64,39,36,14
645,C Wozniack,C Giorgi,3,0,62,34,38,21,63,47,37,22
646,M Kirilenko,S Halep,3,0,54,9,46,5,81,23,19,3
647,A Cornet,V Azarenka,3,0,56,44,44,21,68,48,32,17
648,K Knapp,R Vinci,3,0,58,22,42,8,51,25,49,16
649,P Kvitova,A Riske,3,0,52,18,48,10,70,22,30,6
650,S Kuznetsova,F Pennetta,3,0,55,21,45,10,51,26,49,17
651,J Glushko,D Hantuchova,3,0,73,43,27,10,61,41,39,21
652,L Robson,N Li,3,0,52,16,48,16,65,29,35,10
653,J Hampton,S Stephens,3,0,55,14,45,6,70,25,30,8
654,S Williams,Y Shvedova,3,1,66,28,44,7,59,14,41,12
655,A.Radwanska,A Pavlyuchenkova,3,1,75,42,25,12,53,30,47,13
656,E Makarova,S Lisicki,3,1,61,36,39,15,56,28,44,12
657,J Zheng,C Suarez Navarro,3,0,75,27,25,6,79,30,21,5
658,J Jankovic,K Nara,3,1,52,31,48,12,81,30,19,5
659,K Kanepi,A Kerber,3,0,44,17,56,10,44,17,56,14
660,F Pennetta,S Errani,2,1,58,24,42,11,93,16,7,1
661,S Williams,G Voskoboeva,2,1,64,21,36,11,57,16,43,7
662,C Wozniacki,C Scheepers,2,1,76,22,34,6,55,12,45,5
663,E Bouchard,A Kerber,2,0,47,27,53,27,68,34,32,14
664,A Wozniak,V Azarenka,2,0,48,10,52,4,65,25,35,8
665,C McHale,E Svitolina,2,1,66,52,34,21,59,44,41,20
666,A Ivanovic,A Dulgheru,2,1,64,39,36,12,79,33,21,5
667,P Ormaechea,S Lisicki,2,0,41,9,59,15,42,24,58,15
668,A Cornet,A Tomljanovic,2,1,56,28,44,12,55,13,45,9
669,D Hantuchova,V Duval,2,1,46,14,54,18,74,21,26,6
670,K Nara,S Cirstea,2,1,80,25,20,8,58,19,42,6
671,A Riske,M Barthel,2,1,62,26,38,11,57,21,43,15
672,S Kuznetsova,S Peng,2,1,54,39,46,19,71,44,29,14
673,S Arvidsson,N Li,2,0,67,18,33,8,58,19,42,13
674,U Radwanska,S Stephens,2,0,67,10,33,7,67,20,33,8
675,V Williams,J Zheng,2,0,52,39,48,26,74,49,26,15
676,J Hampton,K Mladenovic,2,1,56,27,44,15,59,30,41,14
677,C Vandeweghe,C Suarez Navarro,2,0,47,14,53,10,82,27,18,7
678,L Robson,C Garcia,2,1,59,28,41,17,64,31,36,17
679,A Barty,A Pavlyuchenkova,2,0,52,13,48,10,55,21,45,11
680,P Kvitova,M Doi,1,1,73,47,27,11,58,21,42,17
681,C Wozniacki,Y Duan,1,1,69,28,31,12,65,24,35,8
682,D Pfizenmaier,V Azarenka,1,0,67,17,33,4,51,16,49,12
683,O Rogowska,S Errani,1,0,47,8,53,4,69,21,31,7
684,V Duval,S Stosur,1,1,63,49,37,19,63,45,37,17
685,A Ivanovic,A Tatishvili,1,1,62,17,48,11,63,13,47,4
686,J Goerges,C McHale,1,0,53,32,47,11,58,28,42,13
687,V Lepchenko,A Dulgheru,1,0,63,38,37,18,64,51,36,19
688,S Kuznetsova,M Burdette,1,1,63,26,37,12,68,27,32,15
689,B Jovanovski,A Petkovic,1,1,60,31,40,15,74,25,26,3
690,S Peng,Y Meusburger,1,1,54,18,46,16,73,24,27,9
691,A Cornet,M Koehler,1,1,53,19,47,18,45,21,55,13
692,H Watson,S Halep,1,0,54,29,46,16,73,40,27,7
693,K Flipkens,V Williams,1,0,46,15,54,7,52,24,48,12
694,A.Radwanska,S.Soler-Espinosa,1,1,72,26,28,6,50,10,50,10
695,S Williams,F Schiavone,1,1,51,13,49,12,43,8,57,5
696,O Govortsova,N Li,1,0,68,22,42,6,62,19,48,13
697,M Minella,S Stephens,1,0,65,43,35,18,58,48,42,26
698,J Jankovic,M Keys,1,1,64,28,36,14,58,19,42,13
699,L Robson,L Dominguez Lino,1,1,57,27,43,7,60,20,40,8
700,J Hampton,L Arruabarrena,1,1,61,27,39,13,52,16,48,12
701,V Dushevina,S Lisicki,1,0,54,21,46,14,43,22,57,22
702,P Ormaechea,K Date-Krumm,1,1,59,32,41,10,69,28,31,6
703,K Pliskova,E Bouchard,1,0,53,48,47,21,72,45,28,16
704,L Hradecka,A Kerber,1,0,49,17,51,4,50,16,50,14
705,L Davis,C Suarez Navarro,1,0,63,12,37,3,78,21,22,4
706,K Mladenovic,A Medina Garrigues,1,1,51,29,49,15,61,32,39,11
707,B.Becker,A.Murray,1,0,59,29,41,14,57,39,43,20
708,J.Ward,Y-H.Lu,1,0,62,77,38,35,67,85,33,31
709,N.Mahut,J.Hajek,1,1,72,44,28,10,70,34,30,14
710,T.Robredo,A.Bogomolov Jr.,1,1,77,40,23,12,79,35,21,8
711,R.Haase,M.Youzhny,1,0,68,61,32,15,67,53,33,17
712,M.Gicquel,V.Pospisil,1,0,59,41,41,27,70,56,30,11
713,A.Kuznetsov,A.Montanes,1,1,63,56,37,21,73,59,27,14
714,J.Tipsarevic,V.Troicki,1,0,61,47,39,21,71,55,29,16
715,M.Baghdatis,M.Cilic,1,0,61,31,39,16,70,45,30,16
716,K.De Schepper,P.Lorenzi,1,1,67,56,33,21,54,40,46,22
717,L.Lacko,R.Ram,1,0,64,66,36,18,67,64,33,23
718,J.Monaco,B.Knittel,1,1,78,46,22,9,58,33,42,17
719,T.Kamke,J.Benneteau,1,0,69,60,31,14,63,65,37,26
720,F.Verdasco,X.Malisse,1,1,63,58,37,21,63,48,37,24
721,E.Roger-Vasselin,E.Gulbis,1,0,66,48,34,21,65,59,35,20
722,J-W.Tsonga,D.Goffin,1,1,68,54,32,15,71,46,29,19
723,V.Hanescu,R.Federer,1,0,85,26,15,3,70,35,30,14
724,R.Dutra Silva,S.Stakhovsky,1,0,54,27,46,17,62,38,38,20
725,J.Reister,L.Rosol,1,1,68,102,32,27,59,81,41,39
726,F.Fognini,J.Melzer,1,0,66,52,34,21,69,62,31,22
727,K.Edmund,J.Janowicz,1,0,71,39,29,10,68,40,32,17
728,R.Stepanek,M.Reid,1,1,66,37,34,17,60,34,40,12
729,M.Matosevic,G.Rufin,1,0,53,43,47,22,47,42,53,26
730,N.Almagro,J.Zopp,1,1,55,43,45,29,52,51,48,27
731,L.Hewitt,S.Wawrinka,1,1,57,37,43,26,60,41,40,20
732,D.Brown,G.Garcia-Lopez,1,1,75,47,25,12,67,32,33,10
733,P.Andujar,A.Mannarino,1,0,60,32,40,12,63,31,37,17
734,J.Isner,E.Donskoy,1,1,75,55,25,19,65,47,35,15
735,A.Ungur,B.Paire,1,0,59,43,41,25,63,51,37,18
736,S.Robert,A.Falla,1,1,68,50,32,13,57,41,43,22
737,L.Kubot,I.Andreev,1,1,60,34,40,16,69,28,31,9
738,R.Nadal,S.Darcis,1,0,67,52,33,21,60,53,40,28
739,A.Ramos,J.Del Potro,1,0,58,30,42,8,73,45,27,12
740,G.Pella,J.Levine,1,0,65,58,35,26,63,63,37,29
741,G.Zemlja,M.Russell,1,1,68,67,32,20,66,60,34,17
742,G.Dimitrov,S.Bolelli,1,1,73,43,27,10,59,34,41,13
743,D.Istomin,A.Seppi,1,0,62,78,38,32,61,84,39,36
744,M.Llodra,J.Nieminen,1,1,62,43,38,21,65,44,35,18
745,L.Mayer,A.Bedene,1,1,63,47,37,20,60,34,40,16
746,K.Nishikori,M.Ebden,1,1,67,37,33,19,61,39,39,12
747,I.Dodig,P.Kohlschreiber,1,1,65,84,35,25,57,75,43,37
748,J.Duckworth,D.Kudla,1,0,58,63,42,20,61,63,39,35
749,A.Kuznetsov,I.Sijsling,1,0,61,39,39,11,60,49,40,21
750,M.Raonic,C.Berlocq,1,1,71,45,29,13,64,42,36,18
751,G.Elias,A.Dolgopolov,1,0,43,22,57,26,64,38,36,19
752,H.Zeballos,S.Giraldo,1,0,61,66,39,37,73,76,27,30
753,R.Bautista Agut,T.Gabashvili,1,1,75,63,25,16,58,40,42,21
754,D.Ferrer,M.Alund,1,1,68,57,32,15,74,53,26,13
755,M.Klizan,T.Berdych,1,0,64,38,36,18,62,47,38,17
756,D.Brands,D.Gimeno-Traver,1,1,65,90,35,38,69,93,31,27
757,P.Petzschner,M.Przysiezny,1,0,65,31,35,11,56,41,44,21
758,K.Anderson,O.Rochus,1,1,72,39,28,14,62,30,38,17
759,B.Tomic,S.Querrey,1,1,78,86,22,20,64,81,36,28
760,J.Blake,T.De Bakker,1,1,52,30,48,20,64,30,36,14
761,A.Haider-Maurer,G.Soeda,1,0,56,43,44,18,55,39,45,25
762,R.Gasquet,M.Granollers,1,1,65,65,35,22,72,73,28,15
763,D.Tursunov,T.Haas,1,0,56,37,44,24,64,56,36,18
764,W.Odesnik,Y-T.Wang,1,0,70,73,30,28,69,69,31,22
765,R.Berankis,P-H.Mathieu,1,0,52,73,48,36,61,73,39,30
766,G.Simon,F.Lopez,1,0,60,49,40,27,71,55,29,17
767,R.Harrison,J.Chardy,1,0,65,70,35,30,66,66,34,22
768,B.Kavcic,J.Struff,1,0,58,40,42,12,59,38,41,22
769,B.Reynolds,S.Johnson,1,1,62,68,38,38,55,76,45,39
770,N.Djokovic,F.Mayer,1,1,63,41,37,26,60,46,40,20
771,Y-H.Lu,A.Murray,2,0,66,49,34,13,63,44,37,20
772,T.Robredo,N.Mahut,2,1,63,52,37,28,65,48,35,18
773,V.Pospisil,M.Youzhny,2,0,63,83,37,25,64,76,36,39
774,V.Troicki,A.Kuznetsov,2,1,63,43,37,16,65,34,35,15
775,J.Monaco,R.Ram,2,1,68,54,32,24,77,68,23,11
776,F.Verdasco,J.Benneteau,2,1,55,48,45,27,62,55,38,24
777,J-W.Tsonga,E.Gulbis,2,0,68,40,32,13,61,40,39,17
778,S.Stakhovsky,R.Federer,2,1,66,83,34,36,72,91,28,24
779,J.Melzer,J.Reister,2,1,64,60,36,33,70,68,30,27
780,N.Almagro,G.Rufin,2,1,69,71,31,20,63,63,37,18
781,D.Brown,L.Hewitt,2,1,64,71,36,25,55,52,45,29
782,S.Robert,B.Paire,2,0,61,42,39,23,57,49,43,23
783,J.Levine,J.Del Potro,2,0,61,41,39,16,69,46,31,16
784,G.Dimitrov,G.Zemlja,2,0,68,92,32,33,56,79,44,47
785,K.Nishikori,L.Mayer,2,1,67,51,33,19,65,44,35,15
786,D.Kudla,I.Dodig,2,0,57,39,43,24,61,55,39,22
787,M.Raonic,I.Sijsling,2,0,68,57,32,17,67,52,33,23
788,D.Brands,T.Berdych,2,0,75,53,25,11,58,40,42,26
789,K.Anderson,M.Przysiezny,2,1,69,49,31,18,60,42,40,21
790,J.Blake,B.Tomic,2,0,59,37,41,16,72,54,28,13
791,R.Gasquet,G.Soeda,2,1,57,47,43,23,56,45,44,20
792,J.Struff,J.Chardy,2,1,55,36,45,17,59,28,41,16
793,N.Djokovic,B.Reynolds,2,1,59,39,41,22,68,53,32,15
794,T.Robredo,A.Murray,3,0,67,47,33,12,65,44,35,16
795,J.Melzer,S.Stakhovsky,3,1,67,51,33,19,62,45,38,21
796,N.Almagro,J.Janowicz,3,0,72,58,28,8,69,52,31,16
797,A.Mannarino,D.Brown,3,1,65,44,35,20,58,42,42,16
798,G.Zemlja,J.Del Potro,3,0,67,53,33,11,61,47,39,20
799,K.Nishikori,A.Seppi,3,0,69,63,31,23,60,65,40,34
800,I.Sijsling,I.Dodig,3,0,62,12,38,4,47,12,53,17
801,D.Ferrer,A.Dolgopolov,3,1,70,76,30,22,59,76,41,33
802,K.Anderson,T.Berdych,3,0,60,53,40,25,53,54,47,27
803,R.Gasquet,B.Tomic,3,0,69,83,31,27,81,101,19,15
804,F.Lopez,T.Haas,3,0,54,48,46,30,76,63,24,18
805,N.Djokovic,J.Chardy,3,1,74,40,26,12,66,32,34,15
806,M.Youzhny,A.Murray,4,0,61,36,39,16,63,55,37,16
807,F.Verdasco,K.De Schepper,4,1,64,42,36,18,67,43,33,15
808,J.Janowicz,J.Melzer,4,1,57,68,43,36,71,76,29,28
809,L.Kubot,A.Mannarino,4,1,67,72,33,25,59,69,41,35
810,A.Seppi,J.Del Potro,4,0,59,47,41,18,72,55,28,18
811,D.Ferrer,I.Dodig,4,1,66,62,34,29,66,64,34,25
812,B.Tomic,T.Berdych,4,0,71,82,29,22,58,68,42,30
813,N.Djokovic,T.Haas,4,1,65,44,35,17,73,43,27,14
814,F.Verdasco,A.Murray,5,0,59,63,41,29,69,72,31,23
815,L.Kubot,J.Janowicz,5,0,57,44,43,20,68,63,32,12
816,D.Ferrer,J.Del Potro,5,0,68,45,32,17,72,55,28,11
817,N.Djokovic,T.Berdych,5,1,61,42,39,21,53,33,47,27
818,J.Janowicz,A.Murray,6,0,55,54,45,27,70,60,30,24
819,N.Djokovic,J.Del Potro,6,1,69,102,31,21,60,82,40,42
820,N.Djokovic,A.Murray,7,0,65,40,35,15,64,48,36,16
821,M.Koehler,V.Azarenka,1,0,60,21,40,8,72,31,28,4
822,E.Baltacha,F.Pennetta,1,0,69,23,31,6,53,18,47,15
823,S-W.Hsieh,T.Maria,1,1,63,17,37,10,56,16,44,7
824,A.Cornet,V.King,1,1,57,36,43,21,68,45,32,15
825,Y.Putintseva,K.Flipkens,1,0,73,34,27,12,66,33,34,15
826,A.Tomljanovic,B.Jovanovski,1,0,59,38,41,22,69,57,31,18
827,Y.Wickmayer,V.Dolonc,1,0,69,40,31,13,69,33,31,12
828,J.Jankovic,J.Konta,1,1,68,31,32,12,52,21,48,17
829,V.Razzano,A.Ivanovic,1,0,78,21,22,9,67,29,33,10
830,E.Bouchard,G.Voskoboeva,1,1,61,44,39,24,59,49,41,21
831,S.Arvidsson,M.Lucic-Baroni,1,0,73,19,27,6,64,28,36,14
832,C.Suarez Navarro,L.Dominguez Lino,1,1,68,27,32,14,64,16,36,5
833,J.Larsson,E.Makarova,1,0,63,20,37,9,82,30,18,7
834,G.Muguruza,A.Keothavong,1,1,67,28,33,9,62,18,38,11
835,K.Bertens,Y.Shvedova,1,0,57,31,43,11,59,19,41,11
836,P.Kvitova,C.Vandeweghe,1,1,67,40,33,17,64,40,36,20
837,K.Mladenovic,M.Sharapova,1,0,52,29,48,17,68,35,32,14
838,M.Larcher De Brito,M.Oudin,1,1,68,46,32,15,65,32,35,15
839,L.Hradecka,K.Knapp,1,0,65,23,35,8,63,34,37,11
840,L.Safarova,L.Davis,1,1,63,24,37,11,66,21,34,2
841,S.Voegele,S.Cirstea,1,0,51,29,49,19,59,32,41,15
842,C.Giorgi,S.Murray,1,1,54,23,46,19,58,28,42,16
843,C.McHale,A.Glatch,1,1,60,24,40,13,54,26,46,8
844,M.Bartoli,E.Svitolina,1,1,58,29,42,16,56,24,44,14
845,E.Cabeza Candela,C.Wozniacki,1,0,68,9,32,3,72,29,28,2
846,P.Cetkovska,D.Vekic,1,1,69,28,31,7,53,23,47,11
847,P.Parmentier,A.Petkovic,1,0,62,16,38,10,77,28,23,7
848,S.Stephens,J.Hampton,1,1,73,34,27,6,66,21,34,11
849,E.Birnerova,V.Lepchenko,1,1,76,44,24,15,72,43,28,13
850,L.Arruabarrena,L.Tsurenko,1,0,79,23,21,4,60,24,40,10
851,S.Soler-Espinosa,M.Doi,1,1,58,33,42,10,64,25,36,14
852,S.Errani,M.Puig,1,0,75,28,25,6,68,28,32,13
853,M.Krajicek,N.Li,1,0,50,11,50,11,62,24,38,11
854,O.Govortsova,S.Halep,1,0,58,30,42,16,56,29,44,15
855,N.Bratchikova,A.Beck,1,0,65,20,35,8,72,29,28,14
856,K.Zakopalova,D.Hantuchova,1,1,54,28,46,13,63,15,37,8
857,M.Camerin,D.Cibulkova,1,0,55,42,45,26,65,43,35,17
858,M.Torro-Flor,I.Begu,1,1,72,25,28,8,61,23,39,11
859,Kr.Pliskova,J.Cepelova,1,0,69,16,31,6,62,24,38,12
860,R.Vinci,C.Scheepers,1,1,57,24,43,14,52,10,48,7
861,Ka.Pliskova,N.Petrova,1,1,73,33,27,4,60,20,40,8
862,A.Tatishvili,P.Martic,1,0,67,31,33,13,59,32,41,14
863,B.Zahlavova Strycova,M.Rybarikova,1,1,62,37,38,14,64,29,36,16
864,A.Pavlyuchenkova,T.Pironkova,1,0,57,9,43,5,60,18,40,13
865,M.Niculescu,M.Barthel,1,0,85,46,15,7,68,39,32,17
866,H.Watson,M.Keys,1,0,53,18,47,13,63,25,37,10
867,T.Babos,M.Johansson,1,0,51,25,49,15,59,32,41,17
868,A.Radwanska,Y.Meusburger,1,1,73,24,27,5,64,7,36,6
869,B.Mattek-Sands,A.Kerber,1,0,55,29,45,10,58,21,42,13
870,K.Kanepi,T.Moore,1,1,54,48,46,26,58,58,42,24
871,M.Burdette,U.Radwanska,1,0,74,38,26,10,68,39,32,15
872,R.Oprandi,A.Riske,1,0,68,34,32,12,72,50,28,10
873,A.Medina Garrigues,S.Peng,1,0,66,19,34,9,70,44,30,9
874,A.Morita,M.Erakovic,1,0,75,41,25,8,59,45,41,15
875,M.Duque-Marino,J.Goerges,1,1,64,48,36,20,62,47,38,21
876,M.Kirilenko,L.Robson,1,0,60,21,40,10,53,24,47,16
877,A.Schmiedlova,S.Stosur,1,0,65,24,35,7,65,25,35,8
878,O.Puchkova,A.Rus,1,1,69,24,31,4,56,19,44,15
879,E.Vesnina,A.Hlavackova,1,1,73,29,27,7,79,25,21,6
880,S.Lisicki,F.Schiavone,1,1,60,27,40,11,54,15,46,11
881,A.Cadantu,T.Paszek,1,1,71,29,29,8,66,19,34,6
882,K.Date-Krumm,C.Witthoeft,1,1,65,17,35,10,41,6,59,7
883,C.Garcia,J.Zheng,1,1,64,33,36,11,70,25,30,10
884,S.Williams,M.Minella,1,1,73,23,27,7,48,12,52,12
885,A.Cornet,S-W.Hsieh,2,1,64,29,36,14,53,14,47,9
886,B.Jovanovski,K.Flipkens,2,0,59,24,41,15,58,27,42,14
887,J.Jankovic,V.Dolonc,2,0,61,23,39,7,72,33,28,11
888,E.Bouchard,A.Ivanovic,2,1,54,25,46,10,51,12,49,10
889,C.Suarez Navarro,M.Lucic-Baroni,2,1,59,30,41,16,56,28,44,16
890,G.Muguruza,E.Makarova,2,0,58,37,42,21,68,49,32,16
891,M.Larcher De Brito,M.Sharapova,2,1,71,34,29,16,60,20,40,9
892,L.Safarova,K.Knapp,2,0,65,37,35,19,67,39,33,14
893,C.Giorgi,S.Cirstea,2,1,53,36,47,20,58,40,42,16
894,M.Bartoli,C.McHale,2,1,64,38,36,11,64,26,36,11
895,P.Cetkovska,C.Wozniacki,2,1,71,31,29,7,69,15,31,8
896,S.Stephens,A.Petkovic,2,1,64,48,36,19,63,38,37,22
897,L.Tsurenko,E.Birnerova,2,0,48,17,52,17,55,23,45,19
898,M.Puig,S.Soler-Espinosa,2,1,63,43,37,24,57,38,43,18
899,S.Halep,N.Li,2,0,71,28,29,8,73,29,27,7
900,K.Zakopalova,A.Beck,2,1,59,28,41,10,66,23,34,9
901,M.Torro-Flor,D.Cibulkova,2,0,61,9,39,6,44,15,56,13
902,R.Vinci,J.Cepelova,2,1,58,47,42,15,61,37,39,22
903,P.Martic,Ka.Pliskova,2,1,54,24,46,15,63,28,37,6
904,T.Pironkova,B.Zahlavova Strycova,2,1,68,37,32,10,64,28,36,15
905,M.Keys,M.Barthel,2,1,65,25,35,12,74,32,26,8
906,A.Radwanska,M.Johansson,2,1,62,23,38,12,66,24,34,6
907,M.Erakovic,S.Peng,2,1,58,35,42,15,74,30,26,9
908,O.Puchkova,S.Stosur,2,0,56,9,44,3,69,20,31,11
909,S.Lisicki,E.Vesnina,2,1,65,28,35,10,74,14,26,4
910,K.Date-Krumm,A.Cadantu,2,1,79,32,21,8,79,30,21,7
911,S.Williams,C.Garcia,2,1,71,25,29,8,75,24,25,9
912,A.Cornet,F.Pennetta,3,0,56,28,44,19,56,30,44,16
913,V.Dolonc,K.Flipkens,3,0,65,11,35,8,63,27,37,8
914,C.Suarez Navarro,E.Bouchard,3,1,66,31,34,13,56,25,44,15
915,P.Kvitova,E.Makarova,3,0,63,30,37,8,75,35,25,8
916,K.Knapp,M.Larcher De Brito,3,1,57,32,43,13,71,28,29,9
917,M.Bartoli,C.Giorgi,3,1,62,26,38,10,60,21,40,14
918,S.Stephens,P.Cetkovska,3,0,79,32,21,3,56,23,44,17
919,M.Puig,E.Birnerova,3,0,58,15,42,8,75,22,25,5
920,K.Zakopalova,N.Li,3,0,62,35,38,14,69,43,31,15
921,R.Vinci,D.Cibulkova,3,1,56,18,44,17,64,15,36,9
922,T.Pironkova,P.Martic,3,1,57,34,43,21,50,20,50,14
923,A.Radwanska,M.Keys,3,1,71,55,29,18,61,53,39,16
924,A.Riske,K.Kanepi,3,0,60,15,40,8,53,22,47,13
925,L.Robson,M.Erakovic,3,1,59,35,41,16,60,37,40,13
926,S.Lisicki,S.Stosur,3,1,68,39,32,13,61,32,39,15
927,S.Williams,K.Date-Krumm,3,1,64,21,36,8,64,10,36,9
928,K.Flipkens,F.Pennetta,4,1,60,26,40,14,66,26,34,11
929,P.Kvitova,C.Suarez Navarro,4,1,70,40,30,10,66,31,34,11
930,M.Bartoli,K.Knapp,4,1,61,26,39,7,60,18,40,4
931,M.Puig,S.Stephens,4,0,61,30,39,20,63,46,37,13
932,R.Vinci,N.Li,4,0,64,12,36,5,61,21,39,10
933,A.Radwanska,T.Pironkova,4,1,71,47,29,17,55,37,45,18
934,L.Robson,K.Kanepi,4,0,57,32,43,16,60,44,40,14
935,S.Williams,S.Lisicki,4,0,62,31,38,16,61,38,39,20
936,P.Kvitova,K.Flipkens,5,0,72,50,28,11,62,42,38,17
937,S.Stephens,M.Bartoli,5,0,63,24,37,5,58,26,42,15
938,A.Radwanska,N.Li,5,1,77,52,23,9,77,57,23,13
939,S.Lisicki,K.Kanepi,5,1,59,26,41,10,67,25,33,9
940,M.Bartoli,K.Flipkens,6,1,61,21,39,10,49,8,51,7
941,S.Lisicki,A.Radwanska,6,1,63,53,37,19,70,42,30,15
942,S.Lisicki,M.Bartoli,7,0,65,22,35,9,67,31,33,7
